Symbol;PriceChangePercentile
FCSK;2.16000000
FCSO;6.75000000
FCUD;2.39632400
FCUF;2.17029600
FCUN;4.14268400
FCUS;3.44803800
FCUW;2.86013500
FCUY;2.97998600
FCXA;8.43479200
FCXB;8.76810400
FCXE;6.75000000
FCXG;17.66152900
FCXI;7.99131000
FCXL;8.07199800
FCXP;8.85283600
FCXR;8.34717800
FCXS;8.18794300
FCXT;6.95829600
FCZE;8.80000000
FCZU;8.80000000
FD3D;3.87760700
FDAX;8.51271700
FDIV;8.29244500
FDJF;9.31268300
FDR;15351.97903100
FDRF;12.83429900
FDVD;3.65894600
FDXD;3.75804700
FDXF;18.50191000
FDXM;8.51271700
FDXS;8.61004700
FEAD;8.80000000
FEBD;5.86183600
FECX;2.30316000
FEDV;8.87882100
FEED;3.84678400
FEFD;8.80000000
FEID;4.59801800
FES1;9.27882600
FESA;10.00776600
FESB;11.66927200
FESC;8.17191900
FESD;8.80000000
FESE;8.65644700
FESF;7.90962000
FESG;9.61759100
FESH;6.75000000
FESI;10.59069800
FESJ;9.97803100
FESK;10.11086200
FESL;12.19766300
FESM;6.75000000
FESN;10.58965600
FESO;6.75000000
FESP;8.80000000
FESQ;8.33300500
FESR;10.39940100
FESS;9.61529300
FEST;6.75000000
FESU;7.30873100
FESV;11.20983000
FESW;8.80000000
FESX;8.29455600
FESY;11.15899000
FESZ;8.87054500
FETD;2.30914700
FEU3;0.36921000
FEUD;3.32759900
FEXD;9.17479100
FEXF;7.61644400
FFOX;7.56672600
FFPD;8.80000000
FGAR;11.02823500
FGBH;9.49147100
FGBL;2.57984600
FGBM;1.69342000
FGBS;0.82844900
FGBX;5.22457000
FGDI;6.75000000
FGDS;9.74219900
FGDV;6.75000000
FGGI;1.87104300
FGPG;13.22754400
FHZF;8.76820600
FHZN;100.67522500
FIA5;526.54510300
FIAK;13.18038400
FIB;476.13210400
FIE;127.56319100
FIEG;11.70876600
FIMG;11.18565900
FIN;12906.83056100
FINF;12.26768900
FING;12.27248600
FLCE;8.14667700
FLCP;7.08117500
FLNJ;16.47254800
FLU;1147.74581000
FLUF;9.94953800
FMAA;6.75000000
FMAC;7.46849000
FMAE;6.75000000
FMAG;10.78107900
FMAP;6.75000000
FMAS;6.13401700
FMAU;10.12874800
FMAV;8.80000000
FMAW;8.80000000
FMBE;8.80000000
